
"F(x) = Serie de Fourier - Square wave"
,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,,,,
x,1,2,3,4,5,6,7,8,9,10,a0,x,F(X),f(x)
-3.1416,9.35373998694463e-06,0,9.35373998608307e-06,0,9.35373998503844e-06,0,9.35373998282531e-06,0,9.35373998027654e-06,0,0,-3.1416,4.6768699921168e-05,-1
-3.0416,-0.127102546947085,0,-0.125413735130262,0,-0.122076502139905,0,-0.117170479254235,0,-0.11081227402342,0,0,-3.0416,-0.602575537494908,-1
-2.9416,-0.252944480999579,0,-0.239633988554933,0,-0.214273772729092,0,-0.179243205015945,0,-0.137773382019377,0,0,-2.9416,-1.02386882931893,-1
-2.8416,-0.376259077410253,0,-0.332448451472209,0,-0.254009350695118,0,-0.15701505070632,0,-0.0604703412277934,0,0,-2.8416,-1.18020227151169,-1
-2.7416,-0.495814217494158,0,-0.395566284334476,0,-0.231554580725173,0,-0.0609402646216681,0,0.0625954482355264,0,0,-2.7416,-1.12127989893995,-1
-2.6416,-0.610415345811252,0,-0.42334935911291,0,-0.152407173645378,0,0.0637956801324563,0,0.138290250410941,0,0,-2.6416,-0.984085948026143,-1
-2.5416,-0.718917405769487,0,-0.413315896482529,0,-0.0359451750711903,0,0.158527519685286,0,0.109329748104648,0,0,-2.5416,-0.900321209533272,-1
-2.4416,-0.820236280651772,0,-0.366362155777934,0,0.0893174559922313,0,0.178701389669302,0,-0.00236932791020085,0,0,-2.4416,-0.920948918678373,-1
-2.3416,-0.913359625751851,0,-0.28668237481623,0,0.192712058773576,0,0.114829203805607,0,-0.112275343798814,0,0,-2.3416,-1.00477608178771,-1
-2.2416,-0.997356983387969,0,-0.181394111124323,0,0.248924028499135,0,-0.00304895086366819,0,-0.137213617882516,0,0,-2.2416,-1.07008963475934,-1
-2.1416,-1.07138907972846,0,-0.0599024517229114,0,0.24419071451911,0,-0.119493136300589,0,-0.0583113615176942,0,0,-2.1416,-1.06490531475055,-1
-2.0416,-1.13471621053845,0,0.0669401152863584,0,0.179670997175907,0,-0.179737832603584,0,0.0647197707168499,0,0,-2.0416,-1.00312315996292,-1
-1.9416,-1.18670563206005,0,0.187803121161577,0,0.071161553478951,0,-0.155449017752008,0,0.138772270761265,0,0,-1.9416,-0.944417704410262,-1
-1.8416,-1.22683788317883,0,0.291890233548306,0,-0.0547707203555934,0,-0.0580501008937576,0,0.107804682932667,0,0,-1.8416,-0.939963787947209,-1
-1.7416,-1.25471197570758,0,0.369903660694606,0,-0.167293211651437,0,0.0666506854726743,0,-0.00474733968685746,0,0,-1.7416,-0.990198180878591,-1
-1.6416,-1.27004940092769,0,0.414874695497083,0,-0.23885649018028,0,0.160004613015619,0,-0.113706670276902,0,0,-1.6416,-1.04773325287217,-1
-1.5416,-1.27269691235625,0,0.42278620935187,0,-0.251939369501668,0,0.178105870916274,0,-0.136615059719118,0,0,-1.5416,-1.06035926130889,-1
-1.4416,-1.26262805693421,0,0.392931490288795,0,-0.203338704476358,0,0.112441154744004,0,-0.05613589559769,0,0,-1.4416,-1.01673001197546,-1
-1.3416,-1.23994343933663,0,0.327977371446909,0,-0.104953632909996,0,-0.00610639344587778,0,0.0668257951564671,0,0,-1.3416,-0.956200299089126,-1
-1.2416,-1.204869716764,0,0.233726010812675,0,0.0191277483786468,0,-0.121782009383134,0,0.139215056411437,0,0,-1.2416,-0.934582910544379,-1
-1.1416,-1.15775733425845,0,0.11859660172732,0,0.13852598976065,0,-0.180181643411115,0,0.106249138440957,0,0,-1.1416,-0.974567247740638,-1
-1.0416,-1.09907702317268,0,-0.0071266885798646,0,0.224008237586455,0,-0.153839035127008,0,-0.00712400926129949,0,0,-1.0416,-1.04315851855439,-1
-0.9416,-1.02941509777793,0,-0.132213373021278,0,0.254645456290687,0,-0.0551435248214366,0,-0.11510584878271,0,0,-0.9416,-1.07723238811266,-1
