
"F(x) = Serie de Fourier - Square wave"
,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,,,,
x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,a0,x,F(X),f(x)
-3.1416,9.35373998694463e-06,0,9.35373998608307e-06,0,9.35373998503844e-06,0,9.35373998282531e-06,0,9.35373998027654e-06,0,9.35373997700247e-06,0,9.35373997302718e-06,0,9.35373996836193e-06,0,9.3537399624805e-06,0,9.3537399565067e-06,0,9.35373995027461e-06,0,9.35373994249598e-06,0,9.3537399341042e-06,0,9.3537399257561e-06,0,9.35373991605551e-06,0,9.35373990630128e-06,0,9.35373989528419e-06,0,9.35373988413928e-06,0,9.35373987180007e-06,0,9.35373985927464e-06,0,9.35373984560912e-06,0,9.35373983128946e-06,0,9.35373981631312e-06,0,9.35373980144796e-06,0,9.35373978512091e-06,0,9.35373976813433e-06,0,9.35373975048667e-06,0,9.35373973283459e-06,0,-3.1416,0.000261904717175269,-1
-3.0416,-0.127102546947085,0,-0.125413735130262,0,-0.122076502139905,0,-0.117170479254235,0,-0.11081227402342,0,-0.103152161696571,0,-0.0943698347879364,0,-0.0846693420031511,0,-0.0742733723510497,0,-0.063417059813524,0,-0.052341497814597,0,-0.0412871604902403,0,-0.0304874291867929,0,-0.0201624176939589,0,-0.0105132786450926,0,-0.0017171566933404,0,0.00607706791328199,0,0.012752128123741,0,0.0182247239013774,0,0.0224468261119635,0,0.0254059093219161,0,0.0271241264243142,0,0.0276564712480223,0,0.027088006616252,0,0.0255302636937862,0,0.0231169429936793,0,0.0199990673395123,0,0.0163397517961197,0,-3.0416,-0.927204963187196,-1
-2.9416,-0.252944480999579,0,-0.239633988554933,0,-0.214273772729092,0,-0.179243205015945,0,-0.137773382019377,0,-0.0935881946644336,0,-0.0504969942665105,0,-0.011987898380665,0,0.0191300764604258,0,0.0409947938577858,0,0.0528394488212928,0,0.0550079363028152,0,0.0488402647549427,0,0.0364472065657146,0,0.0204065537459742,0,0.00342198948178113,0,-0.0120113169893523,0,-0.0238929850572162,0,-0.0309221315772149,0,-0.0325991061427342,0,-0.0292172038632258,0,-0.0217520085683465,0,-0.0116690896721388,0,-0.000680522135499901,0,0.0095140662072376,0,0.0174660261225832,0,0.0221645856213382,0,0.0231496226949305,0,-2.9416,-0.993303709999441,-1
-2.8416,-0.376259077410253,0,-0.332448451472209,0,-0.254009350695118,0,-0.15701505070632,0,-0.0604703412277934,0,0.0182496774745528,0,0.0673540611572285,0,0.082973361232501,0,0.069343762296293,0,0.0369106815136396,0,-0.00101008199866951,0,-0.0320137773870674,0,-0.0477687033932956,0,-0.0457393905268489,0,-0.0291145413193428,0,-0.00512090325688497,0,0.0176447971606136,0,0.0319973631485974,0,0.0342253976410013,0,0.0248826623621562,0,0.00818358754073677,0,-0.00968775237377454,0,-0.0227368810758864,0,-0.0270711450968205,0,-0.0219812816314758,0,-0.00991340473771927,0,0.00457588754151915,0,0.0164711239841688,0,-2.8416,-1.01954777125647,-1
-2.7416,-0.495814217494158,0,-0.395566284334476,0,-0.231554580725173,0,-0.0609402646216681,0,0.0625954482355264,0,0.110144160503883,0,0.0865312591918452,0,0.0237265051537667,0,-0.0369992004316556,0,-0.0648604703361481,0,-0.0518195768965835,0,-0.0123479118556292,0,0.0276989187380445,0,0.0462562109706118,0,0.0361314494912282,0,0.00681095940842483,0,-0.0228364434911498,0,-0.0360353043351359,0,-0.0271309900720543,0,-0.00352715070365435,0,0.0198089596892917,0,0.0295176948297958,0,0.0212547677180471,0,0.00135127274781893,0,-0.0177136280473003,0,-0.0249601188133097,0,-0.0170910763848182,0,0.000195552737437343,0,-2.7416,-1.02717405912719,-1
-2.6416,-0.610415345811252,0,-0.42334935911291,0,-0.152407173645378,0,0.0637956801324563,0,0.138290250410941,0,0.081672250529923,0,-0.0210600402107697,0,-0.0796166680726373,0,-0.0598094757583822,0,0.00502674520943321,0,0.0533319050751751,0,0.048468012551632,0,0.0033870795842192,0,-0.0378985129407391,0,-0.041049710485053,0,-0.00848923464719852,0,0.0274562547677422,0,0.035493640297797,0,0.0117941894398867,0,-0.0197617170870262,0,-0.0309569163113715,0,-0.0139735829252087,0,0.0137760495702036,0,0.0270376641701819,0,0.0153736601551317,0,-0.00895533399608566,0,-0.0235255957923607,0,-0.0161939593555648,0,-2.6416,-1.02255924425722,-1
-2.5416,-0.718917405769487,0,-0.413315896482529,0,-0.0359451750711903,0,0.158527519685286,0,0.109329748104648,0,-0.0360517283669411,0,-0.0977983313661805,0,-0.0349902257648956,0,0.052411443747994,0,0.0616102817731666,0,-0.00202923215959967,0,-0.052238237268855,0,-0.0331259931065385,0,0.022269768576579,0,0.0435836536537499,0,0.0101528260614423,0,-0.0313885487900682,0,-0.030441209291196,0,0.00712568519612147,0,0.0322184883435271,0,0.0157805939239133,0,-0.0183164938949667,0,-0.0270626344823453,0,-0.00202119379227287,0,0.0234483836117625,0,0.0181902849551472,0,-0.00899289671640001,0,-0.0231478917802172,0,-2.5416,-1.01113441647035,-1
-2.4416,-0.820236280651772,0,-0.366362155777934,0,0.0893174559922313,0,0.178701389669302,0,-0.00236932791020085,0,-0.114378098845789,0,-0.0312618379530149,0,0.0746664467599778,0,0.0463036238283649,0,-0.0448626678270042,0,-0.0512830051729698,0,0.0211421572206963,0,0.0496902761876906,0,-0.00236844181776497,0,-0.0435860982792673,0,-0.0117988561379972,0,0.0345348591062376,0,0.0215201077221215,0,-0.0238807771214647,0,-0.0270151658750975,0,0.0128147897554058,0,0.0286560541022298,0,-0.00236667022938606,0,-0.0269875843908104,0,-0.00662683298201278,0,0.0227063796893905,0,0.0135547334973964,0,-0.0166144631308458,0,-2.4416,-0.998389990572287,-1
-2.3416,-0.913359625751851,0,-0.28668237481623,0,0.192712058773576,0,0.114829203805607,0,-0.112275343798814,0,-0.0677111956580208,0,0.0810733213000143,0,0.0455536167694383,0,-0.064343377740426,0,-0.0326030168728996,0,0.0538092829470961,0,0.0240652124802987,0,-0.046492101938526,0,-0.0179872840417199,0,0.0410569023687845,0,0.0134244777395384,0,-0.0368164006580566,0,-0.00986408828400199,0,0.0333808904718452,0,0.00700387488058973,0,-0.0305130899663064,0,-0.00465415162353849,0,0.0280604027683301,0,0.00268987399366094,0,-0.0259203562542484,0,-0.0010252726747875,0,0.0240216894858093,0,-0.00040044389359665,0,-2.3416,-0.988967316188434,-1
