
"F(x) = ((2*(PI^4)/5)/2) + suma((((8(PI^2)*(n^2)-48)*((-1)^n)/(n^4))*cos(nx))+(((6*((-1)^n))/n)*sin(nx))) desde n=1 hasta infinito"
,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,,,,
x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,a0,x,F(X),f(x)
-3.141600000000000,30.956791129418256502958684,16.739164721910654520797834,8.180345016816657377489719,4.747258120033759354328140,3.081429327808534512911365,2.156164304871379666650455,1.591328233148454840417685,1.221937719564553548323715,0.967415704808368137612717,0.784724271508260295959758,0.649213283004316576985104,0.545952460218433355265688,0.465475514327541251002884,0.401547435994047074991897,0.349927038860104566708742,0.307648635072323317629639,0.272588255894782804933385,0.243192607870784865964353,0.218304593150896425468588,0.197048007433303112856393,0.178749551318939575716982,0.162884972417176837611308,0.149041170769264375017826,0.136889082388690658254049,0.126163975744385314925466,0.116650933155206776303814,0.108174014866036644066938,0.100588075939316415330360,0.093772519050772454307641,0.087626477049227297078104,0.082065063257768022797478,0.077016427426113726051327,0.072419425446223206765950,0.068221760860707747475828,0.064378492091494973759147,0.060850825406297687214519,0.057605132791346422282963,0.054612148087903607251992,0.051846305355208122112032,0.049285191415009886595211,0.046909090603387181006578,0.044700604400686162753775,0.042644332189623469775430,0.040726602167967355938583,0.038935243609569333833598,0.037259393369257098882485,0.035689330871528861244268,0.034216336890230632239440,0.032832572278655811071069,0.031530973493116586092722,38.963636413600966079684440,-3.141600000000000,95.843560613227040789752209,106.834802176508318893866090
-3.041600000000000,31.401159321554168002421648,17.001552739209405018527832,8.406075780565847921366185,4.956696120876387112730299,3.279573555339116097684382,2.344255330200118336847481,1.769354275133350862247994,1.389400793545982004673078,1.123623290632655757903535,0.928919435628490552936398,0.780640489865762732257792,0.663894510895034262176750,0.569276153826142050640158,0.490626169373414688923418,0.423789320599855079407803,0.365893056939297189877891,0.314911611123989021443492,0.269393327518080094584718,0.228284847223418047024168,0.190814651948215868726422,0.156414040175522767173177,0.124662318034097052699138,0.095248018163105060973628,0.067940951284429604295489,0.042571720710293990685980,0.019016470455828240332385,-0.002814634603576389709073,-0.022986224591230598746083,-0.041544551011576176524631,-0.058522827146780795337655,-0.073945441835837733002279,-0.087831306233183303877610,-0.100196523220357699979211,-0.111056519589347257870315,-0.120427745641095068629411,-0.128329021217824523759532,-0.134782588531192348835219,-0.139814918471758781182146,-0.143457307001908257459988,-0.145746290765269431721762,-0.146723905493382933418189,-0.146437806652462504386492,-0.144941268684366658670015,-0.142293076888561631498931,-0.138557324267542913975859,-0.133803124368986725567510,-0.128104250192546675890526,-0.121538708503330886157023,-0.114188258343365739433395,-0.106137882107491893224349,38.963636413600966079684440,-3.041600000000000,94.251625002259487473565969,94.711917130389906560594682
-2.941600000000000,31.531777509592352259915060,16.586142500298041824180473,7.880916830242472137513232,4.383580792095538747332739,2.674763797396301878706026,1.713430524040632008109242,1.115225354599846951941799,0.714071990106968090827877,0.429495171268321318525096,0.219070354563346475496033,0.058977713857426894428215,-0.064817811863805085970114,-0.160914105702734511194052,-0.234766779513071538465496,-0.289971697588325860728276,-0.329016440024295753197237,-0.353737510460900683728624,-0.365606064487683013464192,-0.365908811911616393963698,-0.355861834983493330319959,-0.336679589093618503170546,-0.309612799302592112127286,-0.275964111922266441823126,-0.237087543398752154111264,-0.194376100244183724896629,-0.149240932479954097056307,-0.103084749395935329485674,-0.057271807264343652099647,-0.013096477006442246507345,0.028247842461085567733470,0.065697917023576746231583,0.098346640901518317390284,0.125464653944393128570667,0.146516723965587319922221,0.161172243390419633879418,0.169309434267715552824285,0.171013102423283436248624,0.166566024222312175639971,0.156434281497275062822183,0.141247075031491003960227,0.121771738209573598954449,0.098884834328844747886045,0.073540348788206102992326,0.046736077228474282030390,0.019479360262363628469862,-0.007246676349684972456844,-0.032515249983926741705886,-0.055485363775399178243308,-0.075427617526373696987818,-0.091745580691215397606264,38.963636413600966079684440,-2.941600000000000,84.120263387837212576414458,83.699391751471495126679656
-2.841600000000000,31.347340599774561553658714,15.509495100499142594685509,6.651779050823634520384076,3.118394442442553593508592,1.415078576202221549706906,0.484055140128053396075813,-0.063411476078816114698711,-0.394403300617167884567493,-0.589666331063648740951066,-0.692191000192636463062001,-0.727136365353210134543360,-0.710868984409153692460848,-0.655364823395452100740499,-0.570431446896868199480934,-0.464812893500318236039703,-0.346678811183336099688290,-0.223757349826601753539634,-0.103260400149884357112740,0.008304155405474369922025,0.105366901804268039977153,0.183528717928865964248430,0.239752638578165533367326,0.272488522852073367097603,0.281712777786276569180757,0.268874622740783164598355,0.236749282712903602599042,0.189206734994927044946067,0.130911777181102112477262,0.066976813579774183149418,0.002592522983528471654940,-0.057336754560150707260568,-0.108526569424713295597407,-0.147591091997049367323669,-0.172247688235839579995456,-0.181433904616141561394471,-0.175330299070869832789299,-0.155289846644971030187321,-0.123681775651847666863681,-0.083664089844510985960468,-0.038904208354686671544886,0.006729283225697671455556,0.049479086460066143415837,0.085991446866795023806773,0.113566011396241992037481,0.130344989629732732616674,0.135428590497981504725544,0.128909891171471807647109,0.111828882651098984735150,0.086051891013877432334844,0.054088378256566024826490,38.963636413600966079684440,-2.841600000000000,74.110855625320439798997540,73.725427639753092989849392
-2.741600000000000,30.849691424736956690821899,13.814533074085368014038977,4.828457659463752271733483,1.360882177602891429657461,-0.191067233036843336924093,-0.914414630585070109525248,-1.212224898725961841350340,-1.263638841564261205974162,-1.162580109953826434932012,-0.967055141573857968140260,-0.718630184000843774683176,-0.450359965971424136554901,-0.189704539457350579434447,0.040857573014043364889591,0.224212570817761441821503,0.349262151381358576518465,0.411397315627531290349594,0.412528022913483949363211,0.360539518303211292682420,0.268165629258255988620618,0.151372072436432192343858,0.027423407966260499035727,-0.087141025778322167560930,-0.178378920455782269405276,-0.236438274538552040127115,-0.256494662969752318382177,-0.239028326985902317414201,-0.189424194969001868926739,-0.116966891035528125497578,-0.033380999063003374827119,0.048876416743697012612380,0.118336373681715040229179,0.166021781187294381609831,0.186540783359212092307189,0.178637743167713469727431,0.145148408392655775545066,0.092389545304526879410112,0.029090557963398912255659,-0.034965350458006652645260,-0.090388099799909610299053,-0.129508044491842472245580,-0.147400149463043167452625,-0.142470950208548274851239,-0.116541213657293307726093,-0.074431712843957678615858,-0.023130640937521131095256,0.029321207466405003333465,0.075055190877679367478237,0.107527101698955754316422,0.122431235860053153063909,38.963636413600966079684440,-2.741600000000000,64.714752147585670627449872,64.720626395234717165294569
-2.641600000000000,30.043802330535566369462686,11.568829208287834120483240,2.573824525743837909885769,-0.611483459995101341633017,-1.750433119925782099457479,-1.993453062960730326480530,-1.790910009965756444216822,-1.366368017601836681862437,-0.855676439457361048823714,-0.352813245595357594108776,0.075200636948945409621103,0.384486132457961815589442,0.553873339216234827908636,0.584320336798939687916743,0.496533233177060273622061,0.326282235226825423346497,0.117744791653470959325034,-0.084194061701196129532399,-0.241421484824315440986808,-0.328559458377259638872658,-0.336367920158344824166363,-0.272030051032349617923245,-0.156368570960424835281088,-0.018641787928023442755254,0.109967405494208067540107,0.202825501282973608141447,0.242990968166869686362119,0.226047639544832090763293,0.160163102226439979514083,0.063501354219268169032375,-0.040331537415915594269045,-0.127742597841192767615937,-0.180295208576332410821408,-0.188446896152247106437372,-0.153139113767740836502540,-0.084995814616370901628528,-0.001421305959986525046385,0.077662391510604569799803,0.134429044694803767612257,0.157067418027077715381168,0.142159367259519053838801,0.095049950222921966713763,0.028213030911272429096526,-0.041932120068112518906922,-0.098965204805843448587765,-0.130240270836440824586688,-0.129636392314725845675838,-0.098694376843798017895359,-0.045941621983849927068899,0.015369845609487096244061,38.963636413600966079684440,-2.641600000000000,56.381658844351044024278963,56.617989617916308020539873
-2.541600000000000,28.937725494608137921659363,8.861912629507553873509096,0.089279312635246688145685,-2.487309304561713396708456,-2.881231930567611509985682,-2.376120988439478942666483,-1.527302159777823353792314,-0.640276689036908375207702,0.098786101191737904492207,0.585803521301872853754844,0.786851618498392801903663,0.729003029141198410911784,0.486025478350813666672536,0.157772943354398703652564,-0.153965827917840525351778,-0.368316722189399481379724,-0.441738851900578322062785,-0.374269888555021690290658,-0.204441423782417391885602,0.005292329184424827102917,0.188255995972161138674039,0.292756569952873635376278,0.295510284403770584482629,0.205871594984938094397009,0.060238904878664623065987,-0.091103118921848053046730,-0.200334403176941067137307,-0.236550077100113387285063,-0.194056452689374936415589,-0.092350729339078826973797,0.031716896649912347527778,0.136713162460910586659679,0.190053960973959407132483,0.177839453835192035091595,0.108178551179458376507725,0.007293015828157192043113,-0.089978726045057369486990,-0.151947446193285873317080,-0.160207421875439626202109,-0.114944131877924113349643,-0.033925172557733772327193,0.054201616133678957865083,0.119855431346338192621914,0.142315451266918274741968,0.116154611769714907754114,0.052344191903544383392965,-0.026109164192544911248239,-0.092326506167724253781870,-0.124664463241604531185125,-0.113711547868415488449223,38.963636413600966079684440,-2.541600000000000,49.222387210138585089680419,49.352918907797906911127939
-2.441600000000000,27.542512471078861580053854,5.801699559571257047707604,-2.403240955574831083652043,-3.970443700909371820273464,-3.306604678129950958265226,-1.928741491226250825974375,-0.545380239091826091168969,0.474197887420631958299566,0.978489289912116033676170,0.985835232285509954763825,0.638625047627670694438962,0.143833668834634553768126,-0.293850846935141962745774,-0.530687903981123643148976,-0.518315456815777175769711,-0.304772890539810492605000,-0.003913553685840173886057,0.254263867021695233461287,0.373609043511466898390694,0.324154686281131698688540,0.146287307690120355063712,-0.072545085969869582687153,-0.237414262119202856826661,-0.284975052772668047129656,-0.206487433596367453425557,-0.046695025281043980869278,0.119242537832904088590524,0.219717895116409461797602,0.216678292250985865541324,0.119351703983268123132611,-0.023047395185105953169247,-0.145217473893020004860333,-0.195053674729335602133773,-0.155422828922116451622060,-0.049469941579127513220371,0.071915667967652460723649,0.154043226784136816354120,0.162708656182879968232768,0.098170441129198593444016,-0.006802420911656266964973,-0.103157364106600549225057,-0.148195807910303234411487,-0.124288946217073287270338,-0.045544312092157764049194,0.049995396314707465923455,0.118499204051728951325728,0.130283307611683302207339,0.082537425975415204537633,-0.000561306860121903086064,-0.079881177971008701654831,38.963636413600966079684440,-2.441600000000000,42.957758796229846609548986,42.863215864879499861217482
-2.341600000000000,25.872103767282741415556302,2.510191036516527862687553,-4.681086866678703550803675,-4.826732339022445472664913,-2.922405278616336143926446,-0.807597100886572660805029,0.693042529840360521653508,1.301030388485320044011928,1.117691291719173918295382,0.479494577117955456113663,-0.207495929200122303237563,-0.624764538627080368016209,-0.643234993041799985036278,-0.338171956977174115177576,0.080637457925310143669329,0.386115167817691229412702,0.442747331591679227358327,0.258731322170833388796041,-0.037126387923803780277687,-0.275084223680073458595530,-0.335961150851677547990448,-0.207370841663566618517933,0.020856575515966046391325,0.214406031016263126653953,0.270613273354139649562455,0.171128002925058614325238,-0.015273310019347336244366,-0.177496141746634195079935,-0.226714661454153587616389,-0.143963853460747026602462,0.014338028653447593835368,0.153226528622114943622989,0.195169154709245923351446,0.122685566339785473433110,-0.015525635956140423216132,-0.136274976860727897731707,-0.171309404995742237121092,-0.105447140785997858780654,0.017677232808913697498232,0.123836849948590815850835,0.152519818857185462945836,0.091107580877027902199750,-0.020225617861347616049938,-0.114320922973967384339566,-0.137232250837748676053351,-0.078924162251932258871356,0.022881092086878815350381,0.106770387904839642034815,0.124455081896695560206290,0.068393008827148271677743,38.963636413600966079684440,-2.341600000000000,37.243927605237537648008583,37.089082089161095723284234
