
"F(x) = ((2*(PI^4)/5)/2) + suma((((8(PI^2)*(n^2)-48)*((-1)^n)/(n^4))*cos(nx))+(((6*((-1)^n))/n)*sin(nx))) desde n=1 hasta infinito"
,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,n =,,,,
x,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,a0,x,F(X),f(x)
-3.1416,30.9567911294183,16.7391647219107,8.18034501681666,4.74725812003376,3.08142932780853,2.15616430487138,1.59132823314845,1.22193771956455,0.967415704808368,0.78472427150826,0.649213283004317,0.545952460218433,0.465475514327541,0.401547435994047,0.349927038860105,0.307648635072323,0.272588255894783,0.243192607870785,0.218304593150896,0.197048007433303,0.17874955131894,0.162884972417177,0.149041170769264,0.136889082388691,0.126163975744385,0.116650933155207,0.108174014866037,0.100588075939316,0.0937725190507725,0.0876264770492273,0.082065063257768,0.0770164274261137,0.0724194254462232,0.0682217608607077,0.064378492091495,0.0608508254062977,0.0576051327913464,0.0546121480879036,0.0518463053552081,0.0492851914150099,0.0469090906033872,0.0447006044006862,0.0426443321896235,0.0407266021679674,0.0389352436095693,0.0372593933692571,0.0356893308715289,0.0342163368902306,0.0328325722786558,0.0315309734931166,38.963636413601,-3.1416,95.843560613227,106.834802176508
-3.0416,31.4011593215542,17.0015527392094,8.40607578056585,4.95669612087639,3.27957355533912,2.34425533020012,1.76935427513335,1.38940079354598,1.12362329063266,0.92891943562849,0.780640489865763,0.663894510895034,0.569276153826142,0.490626169373415,0.423789320599855,0.365893056939297,0.314911611123989,0.26939332751808,0.228284847223418,0.190814651948216,0.156414040175523,0.124662318034097,0.0952480181631051,0.0679409512844296,0.042571720710294,0.0190164704558282,-0.00281463460357641,-0.0229862245912306,-0.0415445510115762,-0.0585228271467808,-0.0739454418358377,-0.0878313062331833,-0.100196523220358,-0.111056519589347,-0.120427745641095,-0.128329021217825,-0.134782588531192,-0.139814918471759,-0.143457307001908,-0.145746290765269,-0.146723905493383,-0.146437806652463,-0.144941268684367,-0.142293076888562,-0.138557324267543,-0.133803124368987,-0.128104250192547,-0.121538708503331,-0.114188258343366,-0.106137882107492,38.963636413601,-3.0416,94.2516250022595,94.7119171303899
-2.9416,31.5317775095924,16.586142500298,7.88091683024247,4.38358079209554,2.6747637973963,1.71343052404063,1.11522535459985,0.714071990106968,0.429495171268321,0.219070354563347,0.0589777138574269,-0.0648178118638051,-0.160914105702735,-0.234766779513072,-0.289971697588326,-0.329016440024296,-0.353737510460901,-0.365606064487683,-0.365908811911616,-0.355861834983493,-0.336679589093619,-0.309612799302592,-0.275964111922266,-0.237087543398752,-0.194376100244184,-0.149240932479954,-0.103084749395935,-0.0572718072643436,-0.0130964770064423,0.0282478424610856,0.0656979170235767,0.0983466409015183,0.125464653944393,0.146516723965587,0.16117224339042,0.169309434267716,0.171013102423283,0.166566024222312,0.156434281497275,0.141247075031491,0.121771738209574,0.0988848343288448,0.0735403487882061,0.0467360772284743,0.0194793602623636,-0.00724667634968497,-0.0325152499839267,-0.0554853637753992,-0.0754276175263737,-0.0917455806912154,38.963636413601,-2.9416,84.1202633878372,83.6993917514715
-2.8416,31.3473405997746,15.5094951004991,6.65177905082363,3.11839444244255,1.41507857620222,0.484055140128053,-0.0634114760788161,-0.394403300617168,-0.589666331063649,-0.692191000192636,-0.72713636535321,-0.710868984409154,-0.655364823395452,-0.570431446896868,-0.464812893500318,-0.346678811183336,-0.223757349826602,-0.103260400149884,0.00830415540547438,0.105366901804268,0.183528717928866,0.239752638578166,0.272488522852073,0.281712777786277,0.268874622740783,0.236749282712904,0.189206734994927,0.130911777181102,0.0669768135797742,0.00259252298352847,-0.0573367545601507,-0.108526569424713,-0.147591091997049,-0.17224768823584,-0.181433904616142,-0.17533029907087,-0.155289846644971,-0.123681775651848,-0.083664089844511,-0.0389042083546867,0.00672928322569766,0.0494790864600661,0.085991446866795,0.113566011396242,0.130344989629733,0.135428590497982,0.128909891171472,0.111828882651099,0.0860518910138774,0.054088378256566,38.963636413601,-2.8416,74.1108556253204,73.7254276397531
-2.7416,30.849691424737,13.8145330740854,4.82845765946375,1.36088217760289,-0.191067233036843,-0.91441463058507,-1.21222489872596,-1.26363884156426,-1.16258010995383,-0.967055141573858,-0.718630184000844,-0.450359965971424,-0.189704539457351,0.0408575730140434,0.224212570817761,0.349262151381359,0.411397315627531,0.412528022913484,0.360539518303211,0.268165629258256,0.151372072436432,0.0274234079662605,-0.0871410257783222,-0.178378920455782,-0.236438274538552,-0.256494662969752,-0.239028326985902,-0.189424194969002,-0.116966891035528,-0.0333809990630034,0.048876416743697,0.118336373681715,0.166021781187294,0.186540783359212,0.178637743167713,0.145148408392656,0.0923895453045269,0.0290905579633989,-0.0349653504580067,-0.0903880997999096,-0.129508044491842,-0.147400149463043,-0.142470950208548,-0.116541213657293,-0.0744317128439577,-0.0231306409375211,0.029321207466405,0.0750551908776794,0.107527101698956,0.122431235860053,38.963636413601,-2.7416,64.7147521475857,64.7206263952347
-2.6416,30.0438023305356,11.5688292082878,2.57382452574384,-0.611483459995101,-1.75043311992578,-1.99345306296073,-1.79091000996576,-1.36636801760184,-0.855676439457361,-0.352813245595358,0.0752006369489454,0.384486132457962,0.553873339216235,0.58432033679894,0.49653323317706,0.326282235226825,0.117744791653471,-0.0841940617011961,-0.241421484824315,-0.32855945837726,-0.336367920158345,-0.27203005103235,-0.156368570960425,-0.0186417879280234,0.109967405494208,0.202825501282974,0.24299096816687,0.226047639544832,0.16016310222644,0.0635013542192682,-0.0403315374159156,-0.127742597841193,-0.180295208576332,-0.188446896152247,-0.153139113767741,-0.0849958146163709,-0.00142130595998652,0.0776623915106046,0.134429044694804,0.157067418027078,0.142159367259519,0.095049950222922,0.0282130309112724,-0.0419321200681125,-0.0989652048058434,-0.130240270836441,-0.129636392314726,-0.098694376843798,-0.0459416219838499,0.0153698456094871,38.963636413601,-2.6416,56.381658844351,56.6179896179163
-2.5416,28.9377254946081,8.86191262950755,0.0892793126352467,-2.48730930456171,-2.88123193056761,-2.37612098843948,-1.52730215977782,-0.640276689036908,0.0987861011917379,0.585803521301873,0.786851618498393,0.729003029141198,0.486025478350814,0.157772943354399,-0.153965827917841,-0.368316722189399,-0.441738851900578,-0.374269888555022,-0.204441423782417,0.00529232918442479,0.188255995972161,0.292756569952874,0.295510284403771,0.205871594984938,0.0602389048786646,-0.0911031189218481,-0.200334403176941,-0.236550077100113,-0.194056452689375,-0.0923507293390788,0.0317168966499123,0.136713162460911,0.190053960973959,0.177839453835192,0.108178551179458,0.0072930158281572,-0.0899787260450574,-0.151947446193286,-0.16020742187544,-0.114944131877924,-0.0339251725577338,0.054201616133679,0.119855431346338,0.142315451266918,0.116154611769715,0.0523441919035444,-0.0261091641925449,-0.0923265061677243,-0.124664463241605,-0.113711547868415,38.963636413601,-2.5416,49.2223872101386,49.3529189077979
-2.4416,27.5425124710789,5.80169955957126,-2.40324095557483,-3.97044370090937,-3.30660467812995,-1.92874149122625,-0.545380239091826,0.474197887420632,0.978489289912116,0.98583523228551,0.638625047627671,0.143833668834634,-0.293850846935142,-0.530687903981124,-0.518315456815777,-0.30477289053981,-0.00391355368584012,0.254263867021695,0.373609043511467,0.324154686281132,0.14628730769012,-0.0725450859698696,-0.237414262119203,-0.284975052772668,-0.206487433596367,-0.046695025281044,0.119242537832904,0.219717895116409,0.216678292250986,0.119351703983268,-0.023047395185106,-0.14521747389302,-0.195053674729336,-0.155422828922116,-0.0494699415791275,0.0719156679676525,0.154043226784137,0.16270865618288,0.0981704411291986,-0.00680242091165627,-0.103157364106601,-0.148195807910303,-0.124288946217073,-0.0455443120921578,0.0499953963147075,0.118499204051729,0.130283307611683,0.0825374259754152,-0.000561306860121902,-0.0798811779710087,38.963636413601,-2.4416,42.9577587962298,42.8632158648795
-2.3416,25.8721037672827,2.51019103651653,-4.6810868666787,-4.82673233902245,-2.92240527861634,-0.807597100886573,0.69304252984036,1.30103038848532,1.11769129171917,0.479494577117955,-0.207495929200122,-0.62476453862708,-0.6432349930418,-0.338171956977174,0.0806374579253101,0.386115167817691,0.442747331591679,0.258731322170833,-0.0371263879238038,-0.275084223680073,-0.335961150851678,-0.207370841663567,0.020856575515966,0.214406031016263,0.27061327335414,0.171128002925059,-0.0152733100193473,-0.177496141746634,-0.226714661454154,-0.143963853460747,0.0143380286534476,0.153226528622115,0.195169154709246,0.122685566339785,-0.0155256359561404,-0.136274976860728,-0.171309404995742,-0.105447140785998,0.0176772328089137,0.123836849948591,0.152519818857185,0.0911075808770279,-0.0202256178613476,-0.114320922973967,-0.137232250837749,-0.0789241622519323,0.0228810920868788,0.10677038790484,0.124455081896696,0.0683930088271483,38.963636413601,-2.3416,37.2439276052375,37.0890820891611
